condition,panic_mean,panic_vs_base,cliffs_delta,p_panic_raw,correct_rate,correct_vs_base,p_correct_raw,p_panic_holm
control,0.5272727272727272,0.11935193519351928,0.23192319231923192,0.00422468173066622,0.6767676767676768,0.21142114211421142,0.0028076050417522847,0.0211234086533311
money,0.4603960396039604,0.052475247524752466,0.09224585824919125,0.2537856075099154,0.43564356435643564,-0.02970297029702973,0.7773971150215924,0.5625235576825041
time,0.48000000000000015,0.0720792079207922,0.14486711829077645,0.0769595898761256,0.6,0.1346534653465346,0.06419433828938052,0.3078383595045024
dubloons,0.4652631578947368,0.05734236581552887,0.10807712350182387,0.1875078525608347,0.7789473684210526,0.31360083376758724,8.474515035971744e-06,0.5625235576825041
latinum,0.463,0.05507920792079207,0.0999009900990099,0.21705618958592854,0.42,-0.04534653465346539,0.5709067940237251,0.5625235576825041
